year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Social support Category
2014,6.125723838806152,10.3041353225708,0.9082398414611816,65.0999984741211,0.5079472064971924,-0.2692157328128814,0.95634788274765,0.5649307370185852,0.2869106829166412,0
2015,7.418120861053467,10.621685981750488,0.9873434901237488,69.9000015258789,0.9417842626571656,0.3224815428256988,0.1858887076377868,0.7945080995559692,0.1598299890756607,0
2013,2.6875529289245605,8.41893482208252,0.5854500532150269,59.81999969482422,0.4548828899860382,0.218532383441925,0.6634309887886047,0.353619247674942,0.6222299337387085,3
2023,4.505141258239746,9.28178882598877,0.7015454769134521,67.0999984741211,0.4822421371936798,-0.2263951897621154,0.8824015855789185,0.4611584544181824,0.3641684949398041,0
2014,6.679831027984619,9.859636306762695,0.7819649577140808,65.66000366210938,0.7791329026222229,-0.10093654692173,0.6298511624336243,0.7597926259040833,0.2287304103374481,0
2011,6.377699375152588,11.024463653564451,0.8819119930267334,69.4000015258789,0.768603503704071,0.022459829574708823,0.5604239106178284,0.7262067198753357,0.1768251359462738,0
2006,6.312925338745117,9.936885833740234,0.9384627938270568,65.81999969482422,0.7330036759376526,-0.1621210128068924,0.851799488067627,0.7482830882072449,0.3282300233840942,0
2015,3.660597324371338,7.743151664733887,0.7902625799179077,56.70000076293945,0.7586846947669983,0.1450671404600143,0.9064226150512696,0.6065026521682739,0.1917479634284973,0
2011,4.897514820098877,7.785040378570557,0.8240853548049927,41.52000045776367,0.6182597279548645,-0.0925922244787216,0.7676756381988525,0.7540621757507324,0.1700099259614944,0
2011,4.785367488861084,7.450127601623535,0.7095281481742859,51.63999938964844,0.7245684862136841,-0.1069593951106071,0.7067983746528625,0.5783284306526184,0.2047358453273773,0
2019,6.445416927337647,10.66286849975586,0.8384024500846863,71.9000015258789,0.7094788551330566,-0.0881169885396957,0.8655280470848083,0.5688936114311218,0.3279600739479065,0
2019,5.809131145477295,9.340510368347168,0.8084858059883118,68.5,0.8295736908912659,-0.1205283552408218,0.8394950032234192,0.7500731945037842,0.3735581934452057,0
2016,5.970564365386963,10.59199047088623,0.8111634850502014,72.2750015258789,0.5909560322761536,0.0204649157822132,0.8618163466453552,0.5831314325332642,0.2327326834201812,0
2011,6.621312141418457,10.81492519378662,0.9472366571426392,70.0199966430664,0.9062932729721068,0.0267688799649477,0.6771721243858337,0.6857212781906128,0.1651995331048965,0
2016,5.759412288665772,9.21343994140625,0.8238027095794678,64.53629470334893,0.8273985981941223,0.1203578040003776,0.9408979415893556,0.5884125828742981,0.1496067196130752,0
2021,6.469611167907715,10.543588638305664,0.9264167547225952,72.3499984741211,0.7817949652671814,-0.0760454759001731,0.7293469905853271,0.6390746831893921,0.3239803314208984,0
2009,6.144676685333252,11.14906120300293,0.8662552833557129,72.12000274658203,0.7763818502426147,-0.0811173766851425,0.0351979881525039,0.4500215947628021,0.2075482904911041,0
2022,5.891712188720703,9.658327102661133,0.8769494295120239,69.5250015258789,0.7991837859153748,-0.164073958992958,0.8626412153244019,0.7617444396018982,0.3055039048194885,0
2016,6.873763084411621,10.856682777404783,0.9060292840003968,70.30000305175781,0.8705150485038757,0.1422893702983856,0.4459221363067627,0.7093761563301086,0.1872549355030059,0
2007,7.604173183441162,10.561984062194824,0.9665327668190002,69.73999786376953,0.8782188892364502,0.2715924382209778,0.2946162223815918,0.8033924102783203,0.2379970550537109,0
2014,6.84423828125,10.09399127960205,0.8615521788597107,69.22000122070312,0.7333263754844666,0.2089371085166931,0.7584977149963379,0.7999982237815857,0.2761032581329345,0
2012,5.36777400970459,9.106734275817873,0.8336211442947388,61.63999938964844,0.7703193426132202,0.3490613102912903,0.9615888595581056,0.7635718584060669,0.2289796024560928,0
2022,6.695077419281006,10.637453079223633,0.9436010122299194,69.17500305175781,0.907834529876709,0.0934512764215469,0.8310014605522156,0.7425069808959961,0.2459902614355087,0
2023,5.444690704345703,9.688706398010254,0.6907526254653931,69.19999694824219,0.8715454936027527,0.0678853020071983,0.8554250597953796,0.5973492860794067,0.3142271339893341,1
2019,7.398092746734619,10.875224113464355,0.9336450695991516,71.9000015258789,0.9415152072906494,0.0854249447584152,0.2500879168510437,0.7745852470397949,0.2019997090101242,0
